university,campus,track,major,major_desc,keywords,related_subjects,related_activities
상명대학교,서울,인문,역사콘텐츠전공,한국사와 세계사를 중심으로 역사와 문화를 탐구하고 이를 현대 사회에 맞는 콘텐츠로 재구성하는 전공,역사|문화유산|스토리텔링|콘텐츠|전시|미디어|큐레이터|학예사|역사교사|문화해설사|아카이브|고고학|기록물관리|역사학자,한국사|세계사|동아시아사|사회·문화|고전읽기|여행지리|국어,답사보고서|박물관견학|역사동아리|사료분석|문화재지킴이|UCC제작|전시기획
상명대학교,서울,인문,지적재산권전공,"저작권, 특허, 상표 등 지식재산을 체계적으로 교육하는 전공",저작권|특허|지식재산|법|콘텐츠보호|변리사|IP전문가|저작권관리사|특허청|발명|기술이전|상표권,정치와법|사회·문화|경제|정보|기술가정|실용국어,발명동아리|모의재판|특허검색|사례분석보고서|지식재산보호캠페인|창업계획서
상명대학교,서울,인문,문헌정보학전공,"정보의 생산과 조직, 검색, 활용을 다루는 정보 관리 전공",정보관리|데이터|기록|아카이브|도서관|사서|기록물관리사|정보검색|데이터베이스|빅데이터|메타데이터|정보조직,국어|정보|사회·문화|확률과통계|영어|고전읽기,도서부|독서토론|정보분류실습|도서관봉사|데이터정리|아카이빙프로젝트
상명대학교,서울,인문,한일문화콘텐츠전공,한국과 일본의 언어와 문화를 비교 분석하여 콘텐츠로 활용하는 전공,한일문화|비교문화|번역|콘텐츠|미디어|일본어|통번역가|일본지역전문가|문화교류|글로벌콘텐츠|J-POP|애니메이션,일본어I|일본어II|일본문화|사회·문화|세계사|국어,일본문화탐구|번역봉사|한일교류동아리|일본어원서읽기|문화비교보고서
상명대학교,서울,인문,공간환경학부,"도시, 주거, 환경, 조경 등 공간과 환경을 종합적으로 이해하고 설계하는 학부",도시|주거|환경|조경|공간계획|도시재생|도시계획가|조경가|부동산|GIS|주거환경|스마트시티|공간디자인,한국지리|세계지리|사회·문화|지구과학I|미술|경제,지리답사|마을지도만들기|도시재생프로젝트|환경동아리|공간모형제작
상명대학교,서울,인문,행정학부,국가와 지방자치단체의 정책과 행정 운영을 연구하는 학부,행정|정책|공공관리|행정운영|공무원|공공기관|정책분석가|복지행정|지방자치|공익|리더십|사회문제해결,정치와법|사회·문화|경제|윤리와사상|화법과작문|확률과통계,모의의회|정책제안서|사회이슈토론|학생회활동|지역사회봉사|설문조사
상명대학교,서울,인문,가족복지학과,가족과 개인의 삶의 질 향상을 위한 복지 이론과 실천을 교육하는 학과,복지|가족|상담|사회문제|사회복지사|건강가정사|상담심리|아동복지|노인복지|다문화|복지정책|청소년지도사,생활과윤리|사회·문화|윤리와사상|심리학|가정과학,봉사활동|복지시설방문|상담동아리|캠페인활동|다문화멘토링|사회문제탐구
상명대학교,서울,인문,국어교육과,국어와 문학에 대한 전문 지식과 교수 역량을 기르는 학과,국어교육|문학|언어|교수법|국어교사|중등교사|임용고시|교육학|음운론|문법|현대문학|고전문학,국어|문학|언어와매체|화법과작문|교육학|심리학,교육봉사|멘토링|수업시연|교재제작|문학기행|독서토론
상명대학교,서울,인문,영어교육과,영어 능력과 교수법을 체계적으로 교육하는 학과,영어교육|교수법|의사소통|영어교사|TESOL|교육학|영어학|영문학|어학연수|통번역|글로벌소통,영어I|영어II|영어회화|영어독해와작문|교육학|심리학,영어멘토링|영어수업시연|영자신문동아리|교육봉사|영어에세이|번역활동
상명대학교,서울,인문,교육학과,교육과 학습이 무엇인지에 대해 탐구하는 학과,교육이론|학습|상담|교육행정|교육전문가|교육행정가|평생교육사|HRD|교육심리|교육철학|교육과정|청소년상담,교육학|심리학|생활과윤리|윤리와사상|사회·문화,교육봉사|멘토링|교육이슈토론|대안학교탐방|교육프로그램기획|청소년지도
상명대학교,서울,자연,수학교육과,수학의 이론적 이해와 교수 능력을 함께 함양하는 학과,수학|논리|문제해결|교육|수학교사|수학강사|임용고시|해석학|대수학|기하학|위상수학|수리논술,수학I|수학II|미적분|확률과통계|기하|교육학,수학멘토링|문제풀이동아리|수업시연|수학체험전|교구제작|수리탐구보고서
상명대학교,서울,인문,경제금융학부,경제 이론과 금융 실무를 종합적으로 교육하는 학부,경제|금융|시장|분석|펀드매니저|애널리스트|은행원|회계사|금융공학|주식|투자|거시경제|미시경제,경제|수학I|수학II|확률과통계|미적분|경제수학|사회·문화,모의주식투자|경제신문스크랩|창업동아리|시장분석보고서|경제토론
상명대학교,서울,인문,경영학부,기업과 조직의 효율적 운영과 전략 수립을 연구하는 학부,경영|조직|전략|마케팅|CEO|창업|경영컨설턴트|인사관리|재무관리|회계|생산관리|기업가정신,경제|수학I|수학II|확률과통계|사회·문화|정보,창업계획서|마케팅공모전|경영사례분석|모의경영|기업분석보고서|리더십활동
상명대학교,서울,인문,글로벌경영학과,국제 비즈니스 환경에서 요구되는 경영 역량을 교육하는 학과,글로벌경영|국제비즈니스|시장|무역|해외영업|다국적기업|국제통상|외국어|글로벌마케팅|국제재무,영어|경제|국제경제|세계지리|세계사|제2외국어,영어프레젠테이션|국제이슈토론|무역모의실습|해외시장조사|글로벌동아리
상명대학교,서울,자연,핀테크·빅데이터융합·스마트생산전공,데이터와 디지털 기술을 기반으로 금융과 산업 문제를 해결하는 전공,핀테크|빅데이터|데이터분석|스마트생산|블록체인|금융IT|데이터사이언티스트|AI|머신러닝|클라우드|스마트팩토리,확률과통계|미적분|정보|인공지능기초|경제|경제수학,코딩동아리|데이터분석프로젝트|핀테크아이디어|앱개발|통계분석
상명대학교,서울,자연,휴먼AI공학전공,인간 중심의 인공지능 기술을 연구하는 전공,인공지능|AI|휴먼중심|지능형시스템|HCI|UX/UI|딥러닝|감성공학|로봇|뇌과학|인지과학|소프트웨어,정보|인공지능기초|미적분|확률과통계|생명과학I|물리학I,AI모델링|코딩프로젝트|UX디자인|인지실험|로봇동아리|알고리즘연구
상명대학교,서울,자연,컴퓨터과학전공,소프트웨어와 컴퓨팅 이론을 기반으로 IT 전문 인력을 양성하는 전공,프로그래밍|소프트웨어|알고리즘|컴퓨터|개발자|웹개발|앱개발|보안|네트워크|시스템엔지니어|자료구조|운영체제,정보|정보과학|미적분|확률과통계|기하|물리학I,알고리즘대회|코딩동아리|해커톤|앱제작|오픈소스프로젝트|SW봉사
